Tanggal,Lintang,Bujur,Magnitudo,Kedalaman (km),Lokasi,Sumber,Acquired_Date,Nama,EQ_Lintang,EQ_Bujur,VRP_Max,MSI_summit (W),MSI_total (W),Hembusan,Tektonik_Lokal,Tektonik_Jauh,Tremor_Menerus,Vulkanik_Dangkal,Vulkanik_Dalam,Letusan_Erupsi,Guguran,Harmonik,Tremor_Non_Harmonik,Magnitudo_Original,Kedalaman_Original,Keterangan,isVulkanik,isTektonik,seismic_energy_log10,R1_final,R2_final,R3_final,AreaTerdampak_km2,tfe_doy_sin,tfe_doy_cos,tfe_weekday_sin,Intensity,cluster_id,time_since_last_event_days,OLI_total (W),Magnitudo_scaled,Kedalaman (km)_scaled,seismic_energy_log10_scaled,time_since_last_event_days_scaled,impact_level,Magnitudo_lag1,Magnitudo_lag3,Magnitudo_roll_mean3,Magnitudo_roll_std3,Magnitudo_roll_mean7,Magnitudo_roll_std7,VRP_Max_lag1,VRP_Max_lag3,VRP_Max_roll_mean3,VRP_Max_roll_std3,VRP_Max_roll_mean7,VRP_Max_roll_std7,R3_final_lag1,R3_final_lag3,R3_final_roll_mean3,R3_final_roll_std3,R3_final_roll_mean7,R3_final_roll_std7,seismic_energy_log10_lag1,seismic_energy_log10_lag3,seismic_energy_log10_roll_mean3,seismic_energy_log10_roll_std3,seismic_energy_log10_roll_mean7,seismic_energy_log10_roll_std7,PheromoneScore,Pheromone_Score,Risk_Index,Status_Zona,Radius_Visual_KM,PheromoneScore_lag1,PheromoneScore_lag3,PheromoneScore_roll_mean3,PheromoneScore_roll_std3,PheromoneScore_roll_mean7,PheromoneScore_roll_std7,lstm_prediction,prediction_sigma,prediction_error,anomaly_score
2025-12-12 05:41:00,-7.97,114.13,2.2,6.0,,VolcanoDiscovery,2025-12-12 05:41:00,Raung,-7.97,114.13,0.0,,0.0,16,4,8,1,0,0,0,0,0,0,2.2,6.0,Unknown,0,1,8.1,10.636944444444444,23.40127777777778,42.547777777777775,5687.267258742613,-0.3251276029999093,0.9456701548465688,-0.433883739117558,22.0,0,0.015277777777777777,0.0,-0.4285714285714285,-0.2857142857142857,-0.42857142857143005,-0.0102489019033675,Sedang,3.0,2.2,2.733333333333333,0.4618802153517013,2.4285714285714284,0.3903600291794133,0.0,0.0,0.0,0.0,0.0,0.0,43.248224852071004,42.547777777777775,43.014742493973266,0.404403306896236,45.33996900535362,4.3014989896367775,9.3,8.1,8.9,0.6928203230275511,8.442857142857143,0.58554004376912,0.911968362286605,0.911968362286605,91.2,Terdampak,4.057944861025488,0.8780029949326082,0.8796969689600115,0.8574354935240299,0.06721949676065789,0.8595427177220822,0.05630430158732318,,,,0.0
2025-12-12 18:16:00,-7.91,114.14,2.0,14.0,,VolcanoDiscovery,2025-12-12 18:16:00,Ijen,-7.91,114.14,0.0,,0.0,1,4,1,1,0,1,0,0,0,0,2.0,14.0,Unknown,0,1,7.8,7.601020408163265,16.722244897959186,30.40408163265306,2904.1139469707896,-0.3251276029999093,0.9456701548465688,-0.433883739117558,20.0,0,0.5243055555555556,0.0,-0.7142857142857145,0.8571428571428571,-0.7142857142857159,1.0629575402635432,Ringan,2.2,3.0,2.4,0.5291502622129185,2.4,0.41633319989322654,0.0,0.0,0.0,0.0,0.0,0.0,42.547777777777775,43.248224852071004,38.733361420833944,7.22186491623323,42.30912352430406,6.196196862503163,8.1,9.3,8.4,0.7937253933193792,8.4,0.62449979983984,0.5636424251211228,0.5636424251211228,56.36,Aman,3.1562140495018833,0.911968362286605,0.7823351233528767,0.7845379274467787,0.19205345286052738,0.8163182748731126,0.12480322013536094,,,,0.0
2025-12-13 15:03:00,-7.98,114.24,3.1,10.0,,VolcanoDiscovery,2025-12-13 15:03:00,Raung,-7.98,114.24,0.0,,0.0,8,6,3,1,0,0,0,0,0,0,3.1,10.0,Unknown,0,1,9.45,11.723750000000003,25.792250000000006,46.89500000000001,6908.80528834793,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,31.0,0,0.8659722222222223,0.0,0.8571428571428577,0.2857142857142857,0.8571428571428567,1.7833089311859445,Sedang,2.0,3.0,2.4333333333333336,0.5859465277082321,2.5285714285714285,0.4785891965429424,0.0,0.0,0.0,0.0,0.0,0.0,30.40408163265306,43.248224852071004,39.94895313681028,8.547105608654899,41.63412352430406,5.188217430840088,7.8,9.3,8.450000000000001,0.8789197915623485,8.592857142857143,0.7178837948144128,1.0,1.0,100.0,Terdampak,6.529222387025386,0.5636424251211228,0.8780029949326082,0.825203595802576,0.23075544807396145,0.847594878679684,0.14089214384618695,,,,0.0
2025-12-13 15:07:00,-7.99,114.21,2.9,5.0,,VolcanoDiscovery,2025-12-13 15:07:00,Raung,-7.99,114.21,0.0,,0.0,8,6,3,1,0,0,0,0,0,0,2.9,5.0,Unknown,0,1,9.149999999999999,13.811249999999998,30.384749999999997,55.24499999999999,9588.172273222399,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,29.0,0,0.002777777777777778,0.0,0.5714285714285715,-0.42857142857142855,0.57142857142857,-0.036603221083455345,Sedang,3.1,2.2,2.6666666666666665,0.5859465277082321,2.628571428571429,0.4715728494951258,0.0,0.0,0.0,0.0,0.0,0.0,46.89500000000001,42.547777777777775,44.18136054421768,12.640834056947442,43.44801241319294,7.335932622954378,9.45,8.1,8.799999999999999,0.8789197915623473,8.742857142857142,0.707359274242687,0.5371639818466017,0.5371639818466017,53.72,Aman,5.063326569954734,1.0,0.911968362286605,0.7002688023225749,0.2599122354476954,0.7932585509285465,0.17791129896301722,,,,0.0
2025-12-13 15:07:00,-7.99,114.21,2.9,5.0,,VolcanoDiscovery,2025-12-13 15:07:00,Ijen,-7.99,114.21,0.0,,0.0,0,6,0,1,1,1,0,0,0,0,2.9,5.0,Unknown,0,1,9.149999999999999,13.811249999999998,30.384749999999997,55.24499999999999,9588.172273222399,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,29.0,0,0.0,0.0,0.5714285714285715,-0.42857142857142855,0.57142857142857,-0.0424597364568082,Sedang,2.9,2.0,2.966666666666667,0.11547005383792862,2.7285714285714286,0.43861253103502723,0.0,0.0,0.0,0.0,0.0,0.0,55.24499999999999,30.40408163265306,52.461666666666666,4.820874747733344,45.26190130208183,8.54617446684962,9.149999999999999,7.8,9.25,0.17320508075688568,8.892857142857142,0.6579187965525378,0.6581567157044004,0.6581567157044004,65.82,Aman,5.304787401220269,0.5371639818466017,0.5636424251211228,0.731773565850334,0.2400393205166183,0.7616099433206022,0.17966823454019684,,,,0.0
2025-12-13 23:27:00,-7.99,114.22,2.9,5.0,,VolcanoDiscovery,2025-12-13 23:27:00,Ijen,-7.99,114.22,0.0,,0.0,0,6,0,1,1,1,0,0,0,0,2.9,5.0,Unknown,0,1,9.149999999999999,13.811249999999998,30.384749999999997,55.24499999999999,9588.172273222399,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,29.0,0,0.3472222222222222,0.0,0.5714285714285715,-0.42857142857142855,0.57142857142857,0.6896046852122987,Sedang,2.9,3.1,2.9,0.0,2.7142857142857144,0.4298393941484483,0.0,0.0,0.0,0.0,0.0,0.0,55.24499999999999,46.89500000000001,55.24499999999999,0.0,46.975726323214545,9.24905023459722,9.149999999999999,9.45,9.149999999999999,0.0,8.87142857142857,0.6447590912226693,0.5146274993287281,0.5146274993287281,51.46,Aman,5.018351325334156,0.6581567157044004,1.0,0.5699827322932434,0.07718783436535148,0.7233659970314381,0.20166665795118302,,,,0.0
2025-12-13 23:27:00,-7.99,114.22,2.9,5.0,,VolcanoDiscovery,2025-12-13 23:27:00,Raung,-7.99,114.22,0.0,,0.0,8,6,3,1,0,0,0,0,0,0,2.9,5.0,Unknown,0,1,9.149999999999999,13.811249999999998,30.384749999999997,55.24499999999999,9588.172273222399,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,29.0,0,0.0,0.0,0.5714285714285715,-0.42857142857142855,0.57142857142857,-0.0424597364568082,Sedang,2.9,2.9,2.9,0.0,2.6999999999999997,0.42031734043061675,0.0,0.0,0.0,0.0,0.0,0.0,55.24499999999999,55.24499999999999,55.24499999999999,0.0,48.68955134434726,9.549832703206489,9.149999999999999,9.149999999999999,9.149999999999999,0.0,8.85,0.630476010645922,0.4953046286158333,0.4953046286158333,49.53,Aman,4.979789369785192,0.5146274993287281,0.5371639818466017,0.5560296145496539,0.08897079254368127,0.6686948018433274,0.20461079115230485,,,,0.0
2025-12-13 23:54:00,-7.97,114.16,2.3,6.0,,VolcanoDiscovery,2025-12-13 23:54:00,Ijen,-7.97,114.16,0.0,,0.0,0,6,0,1,1,1,0,0,0,0,2.3,6.0,Unknown,0,1,8.25,10.958194444444443,24.108027777777775,43.83277777777777,6035.980945331656,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,23.0,0,0.01875,0.0,-0.2857142857142861,-0.2857142857142857,-0.2857142857142867,-0.002928257686676432,Sedang,2.9,2.9,2.6999999999999997,0.34641016151377696,2.7142857142857144,0.40178174601215,0.0,0.0,0.0,0.0,0.0,0.0,55.24499999999999,55.24499999999999,51.44092592592591,6.588849572051813,48.87312277291869,9.423612237385363,9.149999999999999,9.149999999999999,8.85,0.5196152422706639,8.87142857142857,0.6026726190182213,0.7863398500639497,0.7863398500639497,78.63,Terdampak,4.113867288164345,0.4953046286158333,0.6581567157044004,0.598757326002837,0.16273827402611935,0.6507478715258052,0.18420873176063166,,,,0.0
2025-12-15 00:12:00,-7.97,114.15,2.2,11.0,,VolcanoDiscovery,2025-12-15 00:12:00,Raung,-7.97,114.15,0.0,,0.0,6,3,8,1,0,0,0,0,0,0,2.2,11.0,Unknown,0,1,8.1,8.695599173553719,19.130318181818183,34.782396694214874,3800.746292545837,-0.27591294500296043,0.9611826292540837,0.0,22.0,0,1.0125,0.0,-0.4285714285714285,0.42857142857142855,-0.42857142857143005,2.0922401171303076,Sedang,2.3,2.9,2.466666666666667,0.3785938897200199,2.742857142857143,0.34572215654165117,0.0,0.0,0.0,0.0,0.0,0.0,43.83277777777777,55.24499999999999,44.62005815733088,10.253993919907682,49.49859635314181,8.036700877753827,8.25,9.149999999999999,8.5,0.5678908345800303,8.914285714285715,0.5185832348124723,0.8449057463909231,0.8449057463909231,84.49,Terdampak,3.964490412458913,0.7863398500639497,0.5146274993287281,0.7088500750235687,0.18723977759614718,0.6909283459929194,0.1925295514205222,,,,0.0
2025-12-15 11:35:00,-7.99,114.19,2.6,12.0,,VolcanoDiscovery,2025-12-15 11:35:00,Ijen,-7.99,114.19,0.0,,0.0,1,5,3,1,3,1,0,0,2,0,2.6,12.0,Unknown,0,1,8.7,9.742777777777777,21.43411111111111,38.97111111111111,4771.285992536373,-0.27591294500296043,0.9611826292540837,0.0,26.0,0,0.47430555555555554,0.0,0.14285714285714304,0.5714285714285714,0.14285714285714166,0.9575402635431919,Sedang,2.2,2.9,2.3666666666666667,0.2081665999466169,2.6714285714285713,0.3093772546815393,0.0,0.0,0.0,0.0,0.0,0.0,34.782396694214874,55.24499999999999,39.195428527701246,4.529358471899438,48.36661222615767,8.968564369468575,8.1,9.149999999999999,8.35,0.3122498999199277,8.807142857142855,0.46406588202230464,1.0,1.0,100.0,Terdampak,5.1946538276055,0.8449057463909231,0.4953046286158333,0.8770818654849576,0.110404446910615,0.6909283459929194,0.1925295514205222,,,,0.0
2025-12-15 20:39:00,-7.96,114.15,2.5,10.0,,VolcanoDiscovery,2025-12-15 20:39:00,Ijen,-7.96,114.15,0.0,,0.0,1,5,3,1,3,1,0,0,2,0,2.5,10.0,Unknown,0,1,8.55,9.856250000000001,21.683750000000003,39.425000000000004,4883.073672749632,-0.27591294500296043,0.9611826292540837,0.0,25.0,0,0.37777777777777777,0.0,0.0,0.2857142857142857,0.0,0.7540263543191801,Sedang,2.6,2.3,2.4333333333333336,0.2081665999466166,2.6142857142857143,0.2968084198523323,0.0,0.0,0.0,0.0,0.0,0.0,38.97111111111111,43.83277777777777,37.72616926844199,2.559463128752332,46.10661222615768,8.939592570240888,8.7,8.25,8.450000000000001,0.312249899919926,8.721428571428572,0.4452126297784946,0.8145592135071086,0.8145592135071086,81.46,Terdampak,4.631294577132157,1.0,0.7863398500639497,0.8864883199660105,0.09946810615780824,0.7305562362301348,0.18396299127340135,,,,0.0
